pair_id,stratum,a_source,a_brand,a_name,a_size,b_source,b_brand,b_name,b_size,suggested,suggest_reason,label
P605e3aebe320,near_miss,binnys,Wilderness Trail,Wilderness Trail Wheated Bourbon Single Barrel # 762706 Binny's Handpicked,750ML,binnys,Wilderness Trail,Wilderness Trail Wheated Bourbon Single Barrel # 762715 Binny's Handpicked,750ML,,,
P072bd1125154,near_miss,abc,Buzzballz,BuzzBallz Cocktails Forbidden Apple,200 mL,binnys,Buzzballz,Buzzballz Hole-In-Fun Golf Ball,200ML,,,
Pf68f35cc90f6,near_miss,binnys,Dewars,Dewar's Double Double 27 year old Blended Scotch,375ML,binnys,Dewars,Dewar's Double Double 37 year old Blended Scotch With Baccarat Crystal Glasses,375ML,,,
P63f39498f2ce,near_miss,abc,One Of One,One of One Alcohol-Removed Sauvignon Blanc,750 mL,abc,One Of One,One of One Alcohol-Removed Cabernet Sauvignon,750 mL,,,
P2ac96302c898,near_miss,binnys,Crafthouse,Crafthouse Espresso Martini 4 Pack Cans,4 x 200ML,binnys,Crafthouse,Crafthouse Mai Tai 4 Pack Cans,4 x 200ML,,,
Pda967f72d68c,near_miss,binnys,High Wire Distilling,High Wire Distilling Jimmy Red Bourbon Bottled in Bond,750ML,binnys,High Wire Distilling,High Wire Distilling Jimmy Red Bourbon Oloroso Cask Finish,750ML,,,
P53841b56996f,near_miss,binnys,Quinta do Soalheiro ,Quinta do Soalheiro Granit Alvarinho 2022,750ML,binnys,Quinta do Soalheiro ,Quinta do Soalheiro Alvarinho 2024,750ML,,,
P1b1e91fc20d2,near_miss,total-wine,Shelton,Shelton Cabernet Franc Estate Bottled,750ml Bottle,total-wine,Shelton,Shelton Chardonnay Estate Bottled,750ml Bottle,,,
Pa4af9154bd66,near_miss,abc,Buzzballz,BuzzBallz Boulders Lime 'Rita Chillers,3.0 L,binnys,Buzzballz,Buzzballz Goaaaaal-Melon,3L,,,
P75c7a0be1cc3,near_miss,binnys,San Salvatore,San Salvatore Falanghina 2022,750ML,binnys,San Salvatore,San Salvatore Falanghina 2023,750ML,,,
Pd186ad3f79b7,near_miss,binnys,Chateau Poujeaux,Chateau Poujeaux Moulis en Medoc 2018,750ML,abc,Chateau Poujeaux,Chateau Poujeaux 2020,750 mL,,,
P76de9f3f263b,near_miss,total-wine,Forgotten Fire,Forgotten Fire Cabernet Franc,750ml Bottle,total-wine,Forgotten Fire,Forgotten Fire Pink Hot Mess,750ml Bottle,,,
P7dda399c15ae,near_miss,abc,Ole Smoky,Ole Smoky Mango Habanero Moonshine,750 mL,binnys,Ole Smoky,Ole Smoky Mandarins in Tennessee Moonshine,750ML,,,
P113c71a2497a,near_miss,binnys,Acrobat,Acrobat Pinot Gris 2023,750ML,binnys,Acrobat,Acrobat Pinot Gris 2024,750ML,,,
P13e85bed04c2,near_miss,abc,Florida Beer,Key West Sunset Ale,12 Oz,abc,Florida Beer,Florida Beer Caribe Pineapple Cider,12 Oz,,,
P9d19f7fbe695,near_miss,total-wine,Stillwater,Stillwater Action Bronson 7000,16oz Can,total-wine,Stillwater,Stillwater Blown Speakers,16oz Can,,,
P4952c605ff2e,near_miss,binnys,Billecart-Salmon,Billecart Salmon Extra Brut Vintage 2009,3L,binnys,Billecart-Salmon,Billecart Salmon Brut Reserve,3L,,,
P25148b1e5ce8,near_miss,binnys,Dartigalongue,Dartigalongue 60 year old Vintage Armagnac 1964,750ML,binnys,Dartigalongue,Dartigalongue 60 year old Vintage Armagnac 1965,750ML,,,
Pde8941bcced2,near_miss,abc,Josh,Josh Cellars Reserve Sauvignon Blanc,750 mL,binnys,Josh Cellars,Josh Cellars Legacy Red Blend,750ML,,,
P9665a91609aa,near_miss,binnys,Delas,Delas Cotes du Rhone Esprit Rouge 2024,750ML,total-wine,Delas,Delas Crozes Hermitage Domaine des Grand Chemins,750ml Bottle,,,
P492a3e802c14,near_miss,binnys,Caruso & Minini,Caruso and Minini Nebacco Nero d'Avola 2021,750ML,binnys,Caruso & Minini,Caruso e Minini Perricone Naturalmente 2021,750ML,,,
P7a5c65bf3210,near_miss,total-wine,Smirnoff,Smirnoff Green Apple Vodka,1L Bottle,total-wine,Smirnoff,Smirnoff Orange Vodka,1L Bottle,,,
Pcb5227d5fa03,near_miss,binnys,Domaine Roulot,Domaine Roulot Meursault Meix Chavaux 2023,750ML,binnys,Domaine Roulot,Domaine Roulot Meursault Les Vireuils 2023,750ML,,,
P651c7f52efba,near_miss,binnys,Manuscrito,Manuscrito Tequila Chapter Two High Proof Blanco,750ML,binnys,Manuscrito,Manuscrito Tequila Chapter One Blanco,750ML,,,
P3bff39c9d3a9,near_miss,binnys,Ardbeg,Ardbeg Traigh Bhan 19 year old Islay Single Malt Batch # 5 Limited Release 2023,750ML,binnys,Ardbeg,Ardbeg Spectacular Ardbeg Day Release 2024,750ML,,,
Pd2366db79a01,near_miss,total-wine,Biltmore,Biltmore Estate Cabernet,750ml Bottle,total-wine,Biltmore,Biltmore Estate Cardinals Crst Red,750ml Bottle,,,
P263f2e325427,near_miss,binnys,WhistlePig,WhistlePig Beyond Bonded Barley,750ML,binnys,WhistlePig,WhistlePig Farmstock Rye Bottled in Barn Crop # 3,750ML,,,
Pd927d16b23f1,near_miss,binnys,Kara Tara,Kara Tara Pinot Noir 2023,750ML,binnys,Kara Tara,Kara Tara Pinot Noir 2024,750ML,,,
P03be1df53559,near_miss,binnys,Verdi,Verdi Green Apple Sparkletini,750ML,binnys,Verdi,Verdi Peach Sparkletini,750ML,,,
Pc64eecb73078,near_miss,binnys,Mettler,Mettler Cabernet Sauvignon 2024,750ML,abc,Mettler,Mettler Zinfandel,750 mL,,,
P925bc8ae58a4,near_miss,binnys,Canard-Duchene,Canard Duchene Brut Vintage 2018,750ML,binnys,Canard-Duchene,Canard Duchene Blanc de Blancs Iconic,750ML,,,
P49f81d26ca24,near_miss,binnys,Moth Drinks,Moth Drinks Pina Colada 4pk,4 x 200ML,binnys,Moth Drinks,Moth Drinks Cosmopolitan 4pk,4 x 200ML,,,
P2f367a0ad5d2,near_miss,binnys,Stags' Leap Winery,Stag's Leap Wine Cellars Sauvignon Blanc Aveta 2023,750ML,binnys,Stags' Leap Winery,Stags' Leap Winery Sauvignon Blanc 2023,750ML,,,
P6e7c400d0851,near_miss,binnys,Cascina Penna Currado,Cascina Penna Currado Barbera d'Alba Carra 2023,750ML,binnys,Cascina Penna Currado,Cascina Penna Currado Dolcetto d'Alba Bricco Lago 2023,750ML,,,
P5b9159e6a4a5,near_miss,total-wine,Collective Arts,Collective Arts Origin Of Darkness KEX Collaboration,500ml Bottle,total-wine,Collective Arts,Collective Arts Origin of Darkness - Donut Monster,500ml Bottle,,,
P4209d6efccb6,near_miss,binnys,Vintrendi,Vintrendi Vine Candy Chocolate Bliss,750ML,binnys,Vintrendi,Vintrendi Vine Chocolate Cherry Cuvee,750ML,,,
P2ffffb1ba0d2,near_miss,total-wine,D9,D9 Brown Sugar Brown Cow,16oz Can,total-wine,D9,D9 More Cowbell,16oz Can,,,
Pbe5dc9dbb35d,near_miss,binnys,Cantina Fratelli Pardi,Cantina Fratelli Pardi Sagrantino di Montefalco 2021,750ML,binnys,Cantina Fratelli Pardi,Cantina Fratelli Pardi Montefalco Rosso Riserva 2022,750ML,,,
Pc2554b94ac14,near_miss,binnys,Fitz Ritter,Fitz Ritter Gewurztraminer Spatlese Pfalz 2023,750ML,binnys,Fitz Ritter,Fitz Ritter Gewurztraminer Spatlese Pfalz 2024,750ML,,,
P6b0e34f4826b,near_miss,binnys,Don Fullano,Don Fulano Anejo Tequila,750ML,binnys,Don Fullano,Don Fulano Blanco Tequila,750ML,,,
Pf76205ae6fbb,near_miss,binnys,Arran,Arran Distillers Sherry Cask 2023 Limited Release,700ML,binnys,Arran,Lagg Corriecravie Oloroso Hoggie Finished Peated Isle of Arran Malt,700ML,,,
Pffeb1bde70c9,near_miss,binnys,Chateau Pichon Longueville Comtesse de Lalande,Chateau Pichon Longueville Comtesse de Lalande Pauillac 2018,750ML,binnys,Chateau Pichon Longueville Comtesse de Lalande,Chateau Pichon Longueville Comtesse de Lalande Pauillac 2021,750ML,,,
P920c3aee04f6,near_miss,binnys,La Rasina,La Rasina Brunello di Montalcino 2019,750ML,binnys,La Rasina,La Rasina Rosso di Montalcino 2022,750ML,,,
Pc10aabee709a,near_miss,binnys,Chateau Grand Corbin Despagne,Chateau Grand Corbin Despagne Saint Emilion 2023,750ML,binnys,Chateau Grand Corbin Despagne,Chateau Grand Corbin Despagne Saint Emilion (Futures) 2024,750ML,,,
P37d95cc0a8e4,near_miss,binnys,Mouton Noir,Maison Noir Love Drunk Rose 2024,750ML,binnys,Mouton Noir,Maison Noir Horseshoes & Handgrenades Red,750ML,,,
P83dca442f77f,near_miss,binnys,Kraken,Kraken Black Spiced Rum,750ML,binnys,Kraken,Kraken Gold Spiced Rum,750ML,,,
P86cd17312e5b,near_miss,binnys,Rombauer,Rombauer Merlot 2021,750ML,binnys,Rombauer,Rombauer Zinfandel 2021,750ML,,,
Pad242ad9c26f,near_miss,binnys,Sugarland,Sugarlands Shine Orange Squeeze Moonshine,750ML,binnys,Sugarland,Sugarlands Peppermint Stick Moonshine,750ML,,,
Pb27cbc8e61f7,near_miss,total-wine,Devils Backbone,Devils Backbone Hibiscus Hard Lemonade,12oz Bottle,total-wine,Devils Backbone,Devils Backbone Maibock,12oz Bottle,,,
P12831abfd13b,near_miss,binnys,Hagafen,Hagafen Chardonnay 2022,750ML,binnys,Hagafen,Hagafen Pinot Noir 2023,750ML,,,
P27bb8aa1c8ec,near_miss,binnys,Casa Silva,Casa Silva Sauvignon Gris 2023,750ML,binnys,Casa Silva,Casa Silva Carmenere Terroir de Familia 2024,750ML,,,
P5e8e5dd89f3d,near_miss,binnys,Vineyard 29,Vineyard 29 Cabernet Sauvignon Ceanda 2021,750ML,binnys,Vineyard 29,Vineyard 29 Cabernet Sauvignon Cru 2022,750ML,,,
P3a7531a454ce,near_miss,binnys,Dark Arts,Dark Arts Whiskey House Blunt Blend Vol. 2 Rye Madeira & Armagnac Finish 2025,750ML,binnys,Dark Arts,Dark Arts Whiskey House Ripple Rye 7 year old 95/5 Rye Maple & Amburana Finish,750ML,,,
Pd4e7b4074c7e,near_miss,binnys,Chateau Montelena,Chateau Montelena Cabernet Sauvignon Estate 1994,5L,binnys,Chateau Montelena,Chateau Montelena Cabernet Sauvignon Estate 2004,5L,,,
P031903f963af,near_miss,total-wine,Etienne Sauzet,Sauzet Puligny-Montrachet 1er Cru Les Referts,750ml Bottle,binnys,Etienne Sauzet,Domaine Etienne Sauzet Corton Charlemange 2022,750ML,,,
P85b59d19c220,near_miss,binnys,Ardnamurchan,Ardnamurchan Highland Single Malt,700ML,binnys,Ardnamurchan,Ardnamurchan The Midgie Highland Single Malt,700ML,,,
P9f6e8dbd1748,near_miss,binnys,Lynfred,Lynfred Spiced Apple Wine,750ML,binnys,Lynfred,Lynfred Blackberry Wine,750ML,,,
P11944c0b9378,near_miss,binnys,Ketel One,Ketel One Vodka,1.75L,binnys,Ketel One,Ketel One Citroen Vodka,1.75L,,,
Pfee6ff655a29,near_miss,binnys,Bota Box,Bota Box Nighthawk Gold Chardonnay,3L,binnys,Bota Box,Bota Box Dry Rose,3L,,,
P763ae5bf5c93,near_miss,abc,Bacardi,Bacardi Pineapple Rum,1.75 L,binnys,Bacardi,Bacardi Rum Punch RTS,1.75L,,,
P55d78e1c389f,near_miss,binnys,Tanqueray,Tanqueray London Dry Gin,750ML,binnys,Tanqueray,Tanqueray Negroni,750ML,,,
P118036787397,near_miss,binnys,Laurenz V.,Laurenz V und Sophie Singing Gruner Veltliner 2023,750ML,abc,Laurenz V.,Laurenz V. Friendly,750 mL,,,
P6404a33cd9b2,near_miss,binnys,Vallana,Vallana Spanna Colline Novaresi 2019,750ML,binnys,Vallana,Vallana Spanna Colline Novaresi 2020,750ML,,,
Pe58996fcdc35,near_miss,total-wine,Relic,Relic The Crone,16oz Can,total-wine,Relic,Relic Fact Pattern,16oz Can,,,
Pbae5f60ffda5,near_miss,binnys,Charles Krug,Charles Krug Cabernet Sauvignon 2023,750ML,abc,Charles Krug,Charles Krug Cabernet Sauvignon,750 mL,,,
Pb18529f8fc24,near_miss,binnys,Wayfarer,Wayfarer Pinot Noir Fort Ross Seaview 2021,750ML,binnys,Wayfarer,Wayfarer Pinot Noir The Estate Fort Ross-Seaview 2022,750ML,,,
P50164f3ded6b,near_miss,binnys,Adictivo,Adictivo 14 year old Extra Anejo Tequila King's Edition Extra Rare,750ML,binnys,Adictivo,Adictivo Blanco Craft Tequila from Select El Arenal Agave,750ML,,,
P34dae002ed69,near_miss,binnys,Burrito Fiestero,Mezcal Burrito Fiestero Artesanal Cenizo,750ML,abc,Burrito Fiestero,Burrito Fiestero Cenizo Mezcal,750 mL,,,
Pfed1c6e23bc1,near_miss,binnys,Highland Park,Highland Park 14 year old Westray Refill Hogshead # 2621 2005,750ML,binnys,Highland Park,Highland Park 15 year old Orkney Single Malt,750ML,,,
P34ad6c788193,near_miss,binnys,Glenfarclas,Glenfarclas 10 year old Speyside Single Malt,750ML,binnys,Glenfarclas,Glenfarclas 105 Cask Strength,750ML,,,
Pd012ad84de37,near_miss,binnys,Domaine Forey,Domaine Forey Pere et Fils Morey Saint Denis 2023,750ML,binnys,Domaine Forey,Domaine Forey Pere et Fils Echezeaux 2023,750ML,,,
Pbc34d52af3c4,near_miss,binnys,Kavalan,Kavalan ex Bourbon Cask Aged Single Malt Cask Strength 15th Anniversary Release 2024,750ML,binnys,Kavalan,Kavalan King Car Whisky Conductor,750ML,,,
Pa5372fff3e04,near_miss,binnys,Tabor Hill,Tabor Hill Cherry Wine,750ML,binnys,Tabor Hill,Tabor Hill Classic Demi Sec Red,750ML,,,
Pc848d987b54c,near_miss,total-wine,Williamsburg,Williamsburg Gabriel Archer,750ml Bottle,total-wine,Williamsburg Winery,Williamsburg Winery Dry Rose,750ml Bottle,,,
P1106e8f4dea9,near_miss,binnys,PM Spirits,PM Spirits Destilado de Agave Espadin Full Strength,700ML,binnys,PM Spirits,PM Spirits Overproof Armagnac,700ML,,,
P827e0d64aea1,near_miss,total-wine,Blue Pants,Blue Pants Supercool Imperial IPA,12oz Can,total-wine,Blue Pants,Blue Pants IPA,12oz Can,,,
P9b42812f9823,near_miss,total-wine,Forgotten Fire,Forgotten Fire Green with Envy,750ml Bottle,total-wine,Forgotten Fire,Forgotten Fire Pink Hot Mess,750ml Bottle,,,
P58142112050a,near_miss,total-wine,Chaddsford,Chaddsford Spiced Apple,750ml Bottle,total-wine,Chaddsford,Chaddsford Sangri La,750ml Bottle,,,
P1438b0daf8b0,near_miss,total-wine,Troegs,Troegs Troegenator Double Bock,16oz Can,total-wine,Troegs,Troegs Lollihop Double IPA,16oz Can,,,
P3d803fe535c9,near_miss,binnys,Donnhoff,Donnhoff Estate Riesling 2024,750ML,binnys,Donnhoff,Donnhoff Estate Riesling Trocken 2024,750ML,,,
P3199e1771eee,near_miss,abc,Opolo,Opolo Summit Creek Cabernet Sauvignon,750 mL,abc,Opolo,Opolo Summit Creek Merlot,750 mL,,,
P7ed24c73cde8,near_miss,binnys,Resonance,Resonance by Resonance Pinot Noir 2022,750ML,binnys,Resonance,Resonance Pinot Noir Decouverte Vineyard 2022,750ML,,,
P25148b1e5ce8,near_miss,binnys,Dartigalongue,Dartigalongue 20 year old Vintage Armagnac 2006,750ML,binnys,Dartigalongue,Dartigalongue Hors d'Age Armagnac,750ML,,,
P38aa021a3962,control,abc,Bud/Bud Light/Select/55,Bud Light,7 Oz,abc,Bud/Bud Light/Select/55,Bud Light,25.4 Oz,,,
P5f53acba3c43,control,binnys,Gran Centenario,Gran Centenario Plata Tequila,750ML,binnys,Gran Centenario,Gran Centenario Plata Tequila,1.75L,,,
P72f791c8b5f4,control,binnys,Brugal,Brugal Anejo Rum,750ML,abc,Brugal,Brugal Anejo Rum,1.75 L,,,
Pdc1015b8483c,control,total-wine,Corsendonk,Corsendonk Abbey Pale/Agnus Tripel,4 Pack-11oz Bottles,total-wine,Corsendonk,Corsendonk Abbey Pale/Agnus Tripel,750ml Bottle,,,
Pf0edf6618709,control,abc,Captain Morgan,Captain Morgan White Rum,750 mL,abc,Captain Morgan,Captain Morgan White Rum,1.75 L,,,
P056181ffb829,control,abc,Crown Royal,Crown Royal Deluxe Canadian Whisky,200 mL,abc,Crown Royal,Crown Royal Deluxe Canadian Whisky,1.75 L,,,
P352f9a45b2fe,control,abc,Don Q,Don Q Coconut Rum,750 mL,abc,Don Q,Don Q Coconut Rum,1.75 L,,,
Pa76fed607448,control,binnys,Chateau Pape Clement,Chateau Pape Clement Pessac Leognan Rouge 2023,750ML,binnys,Chateau Pape Clement,Chateau Pape Clement Pessac Leognan Rouge 2023,1.5L,,,
P0c7632e9ea65,control,binnys,Balcones,Balcones Baby Blue Corn Whisky,750ML,binnys,Balcones,Balcones Baby Blue Corn Whisky,1.75L,,,
P64376b65eace,control,abc,Smirnoff,Smirnoff Watermelon Vodka,50 mL,total-wine,Smirnoff,Smirnoff Watermelon Vodka,1.75L Bottle,,,
P846298ca16e4,control,binnys,Bubba's,Bubba's PB Pancakes & Bacon Whiskey,50ML,binnys,Bubba's,Bubba's PB Pancakes & Bacon Whiskey,750ML,,,
P200acee14c48,control,binnys,Le Grand Courtage,Le Grand Courtage Brut Rose,187ML,binnys,Le Grand Courtage,Le Grand Courtage Brut Rose,750ML,,,
P427d71bb11db,control,binnys,Mount Gay,Mount Gay Eclipse Rum,750ML,binnys,Mount Gay,Mount Gay Eclipse Rum,1.75L,,,
Pf7f063eafcdb,control,total-wine,Cella,Cella Lambrusco,750ml Bottle,total-wine,Cella,Cella Lambrusco,3L Bottle,,,
Pe544529cd51f,control,binnys,Paddy's,Paddy Irish Whiskey,50ML,binnys,Paddy's,Paddy Irish Whiskey,750ML,,,
P40f5097f466b,control,binnys,Four Pillars,Four Pillars Olive Leaf Gin,700ML,binnys,Four Pillars,Four Pillars Olive Leaf Gin,750ML,,,
P1b27a8f5376b,control,total-wine,Chateau Fleur Cardinale,Chateau Fleur Cardinale St Emilion,1.5L Bottle,total-wine,Chateau Fleur Cardinale,Chateau Fleur Cardinale St Emilion,3L Bottle,,,
P2317529d9e9e,control,binnys,Sauza,Sauza Hacienda Gold Tequila,50ML,total-wine,Sauza,Sauza Hacienda Gold Tequila,1.75L Bottle,,,
P30078157d0d8,control,binnys,Jinro,Jinro Chamisul Soju Fresh 16%,375ML,binnys,Jinro,Jinro Chamisul Soju Fresh 16%,1.8L,,,
P784efc61af79,control,binnys,Five Farms,Five Farms Single Batch Irish Cream Liqueur,50ML,binnys,Five Farms,Five Farms Single Batch Irish Cream Liqueur,750ML,,,
P1f2d48ade529,control,haskells,Bacardi,Bacardi Raspberry  1.0L,,haskells,Bacardi,Bacardi Raspberry Rum  1.75L,,,,
P550ac802a86c,control,binnys,,Liquid Alchemist Orgeat Syrup,150ML,binnys,,Liquid Alchemist Orgeat Syrup,750ML,,,
P4eecc36a007d,control,abc,Christian Bros,Christian Brothers Brandy,750 mL,abc,Christian Bros,Christian Brothers Brandy,1.75 L,,,
P0ccaecebc786,control,total-wine,Chateau Lynch Bages,Chateau Lynch Bages Pauillac,750ml Bottle,total-wine,Chateau Lynch Bages,Chateau Lynch Bages Pauillac,1.5L Bottle,,,
P429944dee789,control,abc,Banfi,Banfi Centine Rosso,750 mL,binnys,Banfi,Banfi Centine Rosso,5L,,,
P03be1df53559,control,binnys,Verdi,Verdi Raspberry Sparkletini,187ML,binnys,Verdi,Verdi Raspberry Sparkletini,750ML,,,
Pcd31175223ae,control,binnys,Buzzballz,Buzzballz Pink Lemonsqueezy,200ML,binnys,Buzzballz,Buzzballz Pink Lemonsqueezy,1.75L,,,
P4355b9596f5d,control,total-wine,Jacob's Creek,Jacob's Creek Merlot,750ml Bottle,total-wine,Jacob's Creek,Jacob's Creek Merlot,1.5L Bottle,,,
Pebd3f0653c7f,control,abc,Abc,ABC Gulf Crest Alcohol 153,750 mL,abc,Abc,ABC Gulf Crest Alcohol 153,1.75 L,,,
Pb5d6b5696f14,control,binnys,Fontodi,Fontodi Flaccianello della Pieve 2019,750ML,binnys,Fontodi,Fontodi Flaccianello della Pieve 2019,3L,,,
P3124efda6263,control,binnys,Seagram's,Seagram's Extra Smooth Vodka,375ML,binnys,Seagram's,Seagram's Extra Smooth Vodka,750ML,,,
P9af5a81fb94d,control,binnys,Buzzballz,Buzzballz Grapes Gone Wild,200ML,binnys,Buzzballz,Buzzballz Grapes Gone Wild,1.75L,,,
P93b4838c0448,control,binnys,,Liquid Alchemist Ginger Syrup,375ML,binnys,,Liquid Alchemist Ginger Syrup,750ML,,,
Pe57535d213ee,control,total-wine,Il Conte,Il Conte Pinot Grigio,750ml Bottle,total-wine,Il Conte,Il Conte Pinot Grigio,1.5L Bottle,,,
P9d3ba815b371,control,abc,Deep Eddy,Deep Eddy Ruby Red Grapefruit Vodka,50 mL,binnys,Deep Eddy,Deep Eddy Ruby Red Grapefruit Vodka,1.75L,,,
P5de3fc540e84,control,binnys,Spottswoode,Spottswoode Estate Cabernet Sauvignon 2022,750ML,binnys,Spottswoode,Spottswoode Estate Cabernet Sauvignon 2022,3L,,,
P05b0fd4440dd,control,abc,J. Lohr,J. Lohr Estates Riverstone Chardonnay,750 mL,total-wine,J Lohr,J. Lohr Estates Riverstone Chardonnay,1.5L Bottle,,,
P2a5b9adfc9c2,control,binnys,Casamigos,Casamigos Anejo Tequila,50ML,binnys,Casamigos,Casamigos Anejo Tequila,1.75L,,,
Pd24fed90335c,control,binnys,Choya,Choya Umeshu,500ML,binnys,Choya,Choya Umeshu,750ML,,,
P3da6c733d863,control,binnys,Letherbee,Letherbee Limited Label R. Franklin's Original Recipe Besk,200ML,binnys,Letherbee,Letherbee Limited Label R. Franklin's Original Recipe Besk,750ML,,,
P55094b26a6e0,control,total-wine,Krombacher,Krombacher Pils,6 Pack-11oz Bottles,binnys,Krombacher,Krombacher Pils,5L,,,
Pd2b7b3b5c6f1,control,binnys,Polmos,Polmos Spirytus Rektyfikowany 192 Proof,750ML,binnys,Polmos,Polmos Spirytus Rektyfikowany 192 Proof,1.75L,,,
Pe33e5b49391f,control,binnys,Old Forester,Old Forester Bourbon,50ML,binnys,Old Forester,Old Forester Bourbon,1.75L,,,
Pbacb12dea361,control,binnys,Moet & Chandon,Moet & Chandon Nectar Imperial Rose,187ML,abc,Moet &amp; Chandon,Moet & Chandon Nectar Imperial Rose,1.5 L,,,
P3a8dba7e3845,control,binnys,Tin Cup,Tincup Colorado American Whiskey,375ML,binnys,Tin Cup,Tincup Colorado American Whiskey,1.75L,,,
